Carat,Color,Clarity,Cut,Our Prices,Blue Nile Prices
1.01,E,SI1,Ideal,[],"['5054', '5068', '5168', '5254', '5316', '5340', '5383', '5424', '5452', '5469', '5532', '5535', '5649', '5651', '5653', '5692', '5747', '6242', '5747', '5748', '5806', '5833', '5851', '5909', '5924', '5924', '5944', '6420', '5974', '6016', '6061', '6074', '6482', '6089', '6605', '6094', '6094', '6099', '6144', '6183', '6198']"
,,,,,
1.02,G,SI1,Very Good,[],"['5078', '5993']"
,,,,,
1.12,D,SI2,Ideal,[],"['5161', '5288', '5412', '5825', '5832', '6155']"
,,,,,
1.08,G,SI1,Ideal,[],"['5176', '5211', '5575', '5619', '5717', '5751', '5928']"
,,,,,
1,G,VS2,Very Good,[],"['5194', '5264', '5348', '5406', '5467', '5868', '5605', '5627', '5652', '5700', '5707', '5767', '5801', '5832', '5885', '5910', '5975', '5985', '6013', '6061', '6080', '6104', '6412', '6127', '6165', '6165', '6175', '6175']"
,,,,,
1.09,F,SI2,Very Good,[],['5201']
,,,,,
1.12,E,SI2,Ideal,[],['5210']
,,,,,
1.03,E,SI1,Ideal,[],"['5216', '5398', '5398', '5484', '5765', '5509', '6012', '6042', '6125']"
,,,,,
1.04,E,SI1,Ideal,[],"['5263', '5350', '5930']"
,,,,,
1.03,F,SI1,Very Good,[],['5267']
,,,,,
1.05,D,SI1,Very Good,[],['5274']
,,,,,
1.07,F,SI2,Ideal,[],"['5300', '5369']"
,,,,,
1.07,G,SI1,Ideal,[],"['5314', '5699', '5800', '5980', '6005', '6049']"
,,,,,
1.02,E,SI1,Very Good,[],"['5345', '5570', '5873']"
,,,,,
1.05,D,SI2,Ideal,[],"['5349', '5387', '5965', '6135']"
,,,,,
1.02,D,SI1,Ideal,[],"['5362', '5363', '5721', '5810', '5864', '5921', '6010', '6030', '6171']"
,,,,,
1.06,G,SI1,Ideal,[],"['5364', '5570', '5819', '6167']"
,,,,,
1.02,D,SI1,Very Good,[],"['5377', '5518']"
,,,,,
1.04,D,SI2,Very Good,[],['5378']
,,,,,
1.01,G,VS2,Ideal,[],"['5386', '5484', '5691', '5694', '5756', '5893', '6044']"
,,,,,
1.01,G,VS1,Very Good,[],"['5397', '6098', '6157']"
,,,,,
1,E,VS2,Very Good,[],"['5403', '5934', '5714', '5740', '5771', '5782', '6532', '5884', '5919', '5934', '5943', '6121', '6194']"
,,,,,
1.12,G,SI2,Ideal,[],['5406']
,,,,,
1.07,E,SI1,Ideal,[],['5412']
,,,,,
